Model,Parameter,Best_Value,MAE,MSE,R2
Linear Regression,No hyperparameters,Default,19.13196420747321,779.8832482098453,0.5192256201280697
Random Forest Regressor,max_depth,,3.767557435432932,37.04899308706879,0.977160418925267
Random Forest Regressor,n_estimators,100,3.767557435432932,37.04899308706879,0.977160418925267
Gradient Boosting Regressor,learning_rate,0.1,6.689581709715206,133.18645725736346,0.917894586731758
Gradient Boosting Regressor,max_depth,5,6.689581709715206,133.18645725736346,0.917894586731758
Gradient Boosting Regressor,n_estimators,100,6.689581709715206,133.18645725736346,0.917894586731758
XGBoost Regressor,learning_rate,0.1,6.770456971834502,137.60446463736437,0.9151710191166501
XGBoost Regressor,max_depth,5,6.770456971834502,137.60446463736437,0.9151710191166501
XGBoost Regressor,n_estimators,100,6.770456971834502,137.60446463736437,0.9151710191166501
