Model,Type,MAE,MSE,R2
Linear Regression,Conventionnel,19.13196420747321,779.8832482098453,0.5192256201280697
Random Forest Regressor,Conventionnel,3.767557435432932,37.04899308706879,0.977160418925267
Gradient Boosting Regressor,Conventionnel,9.09122345559903,239.88041713554935,0.8521209949611176
XGBoost Regressor,Conventionnel,4.707905682544707,55.353187474964756,0.9658764379882536
Linear Regression,GridSearchCV,19.13196420747321,779.8832482098453,0.5192256201280697
Random Forest Regressor,GridSearchCV,3.767557435432932,37.04899308706879,0.977160418925267
Gradient Boosting Regressor,GridSearchCV,6.689581709715206,133.18645725736346,0.917894586731758
XGBoost Regressor,GridSearchCV,6.770456971834502,137.60446463736437,0.9151710191166501
